,entity,to_search,snippet,address,coordinates,name_location,class,type
10,Rocciamelone,Rocciamelone Torino,"[""Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana.""]","Rocciamelone, Revigliasco, Moncalieri, Torino, Piemonte, 10024, Italia",POINT (7.7192742 45.0126332),"Rocciamelone, Revigliasco, Moncalieri, Torino, Piemonte, 10024, Italia",place,hamlet
11,Gran Paradiso,Gran Paradiso Torino,"[""Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana.""]","Gran Paradiso, Via Val della Torre, Madonna di Campagna, Circoscrizione 5, Torino, Piemonte, 10149, Italia",POINT (7.658099170307192 45.092788299999995),"Gran Paradiso, Via Val della Torre, Madonna di Campagna, Circoscrizione 5, Torino, Piemonte, 10149, Italia",building,apartments
12,Monte Rosa,Monte Rosa Torino,"[""Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana.""]","Monte Rosa, Circoscrizione 6, Torino, Piemonte, 10154, Italia",POINT (7.6950203 45.0891312),"Monte Rosa, Circoscrizione 6, Torino, Piemonte, 10154, Italia",place,neighbourhood
13,Cervino,Cervino Torino,"[""*Il Monviso, monte sul quale nasce il Po, il Rocciamelone, e i massicci del Gran Paradiso e del Monte Rosa, mentre il Cervino diventa visibile dalla zona sud-est dell'area urbana.""]","Cervino, Via Torino, Santena, Torino, Piemonte, 10026, Italia",POINT (7.7754323 44.9552271),"Cervino, Via Torino, Santena, Torino, Piemonte, 10026, Italia",highway,bus_stop
15,Piazza Castello,Piazza Castello Torino,"['*Il confine francese dista circa 70\xa0km nei pressi del Colle del Moncenisio, mentre sono 206 i chilometri che separano Piazza Castello da Chambery, 222 da Nizza, 250 da Ginevra e 314 da Lione.', '*Vari resti di abitazioni di epoca imperiale, fra cui le tracce delle domus di via Bellezia, via Santa Chiara, via Bonelli, Piazza Castello, la necropoli nel sottosuolo di Piazza San Carlo e gli edifici pubblici di Piazza Emanuele Filiberto e Corso XI Febbraio.', ""La prima testimonianza è l'ordinanza di Carlo Emanuele I di Savoia del 16 giugno 1606 in merito alla costruzione di piazza Castello secondo il progetto di Ascanio Vittozzi che comprendeva portici attorno a tutta la piazza."", ""Il portico che unisce piazza Castello con Piazza Vittorio Veneto attraverso via Po sul lato sinistro fu progettato in modo tale da proseguire anche nell'attraversamento delle vie per permettere al re di giungere fino al Po senza bagnarsi in caso di pioggia."", ""*La prima testimonianza è l'ordinanza di Carlo Emanuele I di Savoia del 16 giugno 1606 in merito alla costruzione di piazza Castello secondo il progetto di Ascanio Vittozzi che comprendeva portici attorno a tutta la piazza."", ""*Il portico che unisce piazza Castello con Piazza Vittorio Veneto attraverso via Po sul lato sinistro fu progettato in modo tale da proseguire anche nell'attraversamento delle vie per permettere al re di giungere fino al Po senza bagnarsi in caso di pioggia.""]","Piazza Castello, Centro, Circoscrizione 1, Torino, Piemonte, Italia",POINT (7.68726003830842 45.070792100000006),"Piazza Castello, Centro, Circoscrizione 1, Torino, Piemonte, Italia",highway,pedestrian
16,Parco del Po,Parco del Po Torino,"[""Il 19 marzo 2016 l'UNESCO ha riconosciuto il Parco del Po e la collina torinese come riserva della biosfera, mentre nel 2020 la FAO e l'Arbor Day Foundation hanno conferito alla città di Torino il riconoscimento di Tree City of the World 2019.""]","Parco del Valentino, Viale Carlo Ceppi, San Salvario, Circoscrizione 8, Torino, Piemonte, 10125, Italia",POINT (7.684052621742767 45.05079979999999),"Parco del Valentino, Viale Carlo Ceppi, San Salvario, Circoscrizione 8, Torino, Piemonte, 10125, Italia",leisure,pitch
18,Porta Susa,Porta Susa Torino,"[""*Prendendo in esame i dati rilevati dall'Ufficio Idrografico del Po (presso Porta Susa), nel il periodo 1961-1990, si evince che, in città, la temperatura Media annua è stata di 12,3\xa0°C, con la minima, a gennaio, di 0,9\xa0°C."", '*Le stazioni ferroviarie di Porta Nuova e Porta Susa vennero congiunte con un percorso porticato attraverso via Nizza, via Sacchi, Corso Vittorio Emanuele II, Corso Vinzaglio e via Cernaia.']","Porta Susa, Corso Bolzano, Centro, Circoscrizione 1, Torino, Piemonte, 10140, Italia",POINT (7.6667253 45.0715916),"Porta Susa, Corso Bolzano, Centro, Circoscrizione 1, Torino, Piemonte, 10140, Italia",highway,bus_stop
19,Susa,Susa Torino,"['Val di Susa, che collega la città con la vicina Francia attraverso il traforo del Frejus, Valli di Lanzo, Val Sangone.', ""Prendendo in esame i dati rilevati dall'Ufficio Idrografico del Po (presso Porta Susa), nel il periodo 1961-1990, si evince che, in città, la temperatura Media annua è stata di 12,3\xa0°C, con la minima, a gennaio, di 0,9\xa0°C."", '*Insediamenti riferibili a popolazioni di ceppo celto-Ligure, conosciute con il nome di Taurini, spesso confusi, già in età antica, con i Taurisci, che occupavano anche le vicine valli di Susa e di Lanzo.', 'Nel 940 fu fondata la Marca di Torino, controllata dalla cosiddetta ""dinastia arduinica"" che, attraverso il matrimonio tra Adelaide di Susa e Oddone, figlio di Umberto I Biancamano (fondatore della casa Savoia), portò la città sotto l\'influenza della dinastia sabauda.', 'Le stazioni ferroviarie di Porta Nuova e Porta Susa vennero congiunte con un percorso porticato attraverso via Nizza, via Sacchi, Corso Vittorio Emanuele II, Corso Vinzaglio e via Cernaia.', ""L'itinerario, fra i preferiti nel Medioevo, valicato lo spartiacque Francia/Italia al Colle del Moncenisio, giunge dalla Valle di Susa terra delle grandi abbazie come Novalesa, Sacra di San Michele e Sant'Antonio di Ranverso e passando per Torino lungo il Parco Colletta tende a San Mauro Torinese e poi verso Chivasso e successivamente a Vercelli, dove si congiunge con l'altro ramo della Francigena, quella proveniente dal Colle del Gran San Bernardo."", 'A32 Torino - Susa - Bardonecchia - Traforo stradale del Frejus ;']","Susa, Corso Inghilterra, Cit Turin, Circoscrizione 3, Torino, Piemonte, 10140, Italia",POINT (7.6647015 45.0717055),"Susa, Corso Inghilterra, Cit Turin, Circoscrizione 3, Torino, Piemonte, 10140, Italia",highway,bus_stop
23,Strada romana,Strada romana Torino,"[""*In epoca romana il territorio di Torino era il terminale di un'importante Strada romana, la via Gallica.""]","Strada Romana, Caselette, Torino, Piemonte, 10091, Italia",POINT (7.4839753 45.1158559),"Strada Romana, Caselette, Torino, Piemonte, 10091, Italia",highway,unclassified
25,Italia settentrionale,Italia settentrionale Torino,"[""*Nel 1943 ebbe inizio a Torino l'ondata di scioperi nella grande industria che coinvolse quasi tutta l'Italia settentrionale e segnò la ripresa del movimento antifascista.""]","Becco Settentrionale della Tribolazione, Noasca, Torino, Piemonte, Italia",POINT (7.3314302 45.5033206),"Becco Settentrionale della Tribolazione, Noasca, Torino, Piemonte, Italia",natural,peak
26,Pian del Lot,Pian del Lot Torino,"[""*Dopo l'8 settembre Torino venne occupata dalle truppe naziste e repubblichine che si macchiarono di numerosi eccidi, come quello del Pian del Lot, esecuzioni e deportazioni.""]","Pian del Lot, Circoscrizione 8, Torino, Piemonte, 10131, Italia",POINT (7.7093103 45.0383105),"Pian del Lot, Circoscrizione 8, Torino, Piemonte, 10131, Italia",place,hamlet
27,Fiorio,Fiorio Torino,"[""*Il 25 aprile 1945 il Comitato di Liberazione Nazionale, che aveva la propria sede regionale presso la conceria Fiorio, proclamò l'ordine di insurrezione generale e con esso i Partigiani presero il controllo della città ponendo fine all'occupazione nazifascista.""]","Fiorio, Piazza Castello, Centro, Circoscrizione 1, Torino, Piemonte, 10123, Italia",POINT (7.6845288 45.0713287),"Fiorio, Piazza Castello, Centro, Circoscrizione 1, Torino, Piemonte, 10123, Italia",amenity,cafe
29,Corso Vittorio Emanuele,Corso Vittorio Emanuele Torino,"['*Di norma i più antichi, come Corso Vittorio Emanuele, Corso Francia e Corso Regina Margherita, presentano una carreggiata centrale con almeno due corsie per senso di marcia, divisa da alberate dalle altre due carreggiate laterali, dette controviali.', 'Le stazioni ferroviarie di Porta Nuova e Porta Susa vennero congiunte con un percorso porticato attraverso via Nizza, via Sacchi, Corso Vittorio Emanuele II, Corso Vinzaglio e via Cernaia.']","Corso Vittorio Emanuele, Andezeno, Torino, Piemonte, 10020, Italia",POINT (7.8706916 45.0362198),"Corso Vittorio Emanuele, Andezeno, Torino, Piemonte, 10020, Italia",highway,residential
30,Corso Francia,Corso Francia Torino,"['*Di norma i più antichi, come Corso Vittorio Emanuele, Corso Francia e Corso Regina Margherita, presentano una carreggiata centrale con almeno due corsie per senso di marcia, divisa da alberate dalle altre due carreggiate laterali, dette controviali.', ""*Le importanti testimonianze architettoniche di quest'epoca sono ancora percepibili in alcune zone centrali del capoluogo come i quartieri Centro, Crocetta, San Salvario e Borgo Po, ma con un'assoluta predominanza nell'area circostante il primo tratto di Corso Francia, comprendente i quartieri Cit Turin e San Donato."", '*Torino violenta. Un poliziesco interamente girato a Torino. Sono numerosi i luoghi riconoscibili della città, come Piazza Statuto, Piazza Cavour e Corso Francia.']","Corso Francia, Campidoglio, Circoscrizione 4, Torino, Piemonte, 10143, Italia",POINT (7.6551268 45.0760379),"Corso Francia, Campidoglio, Circoscrizione 4, Torino, Piemonte, 10143, Italia",highway,residential
31,Corso Regina Margherita,Corso Regina Margherita Torino,"['*Di norma i più antichi, come Corso Vittorio Emanuele, Corso Francia e Corso Regina Margherita, presentano una carreggiata centrale con almeno due corsie per senso di marcia, divisa da alberate dalle altre due carreggiate laterali, dette controviali.', ""Ospitava infatti il patibolo, che rimase per secoli in piazza Statuto e che venne poi spostato dai francesi all'incrocio tra corso Regina Margherita e Via Cigna:"", ""*Ospitava infatti il patibolo, che rimase per secoli in piazza Statuto e che venne poi spostato dai francesi all'incrocio tra corso Regina Margherita e Via Cigna:""]","Corso Regina Margherita, Vanchiglia, Circoscrizione 7, Torino, Piemonte, 10124, Italia",POINT (7.7016675 45.0707462),"Corso Regina Margherita, Vanchiglia, Circoscrizione 7, Torino, Piemonte, 10124, Italia",highway,primary
36,Palazzo Madama,Palazzo Madama Torino,"['*Porta Decumana, inglobata in Palazzo Madama, e relativi scavi archeologici;', ""*Palazzo Madama e Casaforte degli Acaja, il cui corpo centrale fu costruito fra i secoli XIII e XV in stile gotico ampliando e inglobando la struttura dell'originale Porta Decumana d'epoca romana e conferendo al palazzo l'aspetto di un castello, che verrà completato nei secoli successivi con la facciata settecentesca dello Juvarra;"", ""*Palazzo Carignano (progettato da Guarini e sede della prima Camera dei deputati del Parlamento italiano) e l'imponente Palazzo Madama."", 'Nel comune di Torino si trovano il Palazzo Reale, il Palazzo Madama, la Villa della Regina e il Castello del Valentino.', '*Palazzo Madama ;', "", il Museo civico d'arte antica di Palazzo Madama, la Fondazione Sandretto Re Rebaudengo contenente esposizioni degli artisti contemporanei provenienti da tutto il mondo e la Pinacoteca Giovanni e Marella Agnelli e la Fondazione Merz."", '*Mostre temporanee di rilievo si tengono a Palazzo Bricherasio e a Palazzo Madama.']","Palazzo Madama, Piazza Castello, Centro, Circoscrizione 1, Torino, Piemonte, 10123, Italia",POINT (7.685804604887445 45.07096535),"Palazzo Madama, Piazza Castello, Centro, Circoscrizione 1, Torino, Piemonte, 10123, Italia",tourism,attraction
37,Teatro romano,Teatro romano Torino,['*Resti del Teatro romano;'],"Teatro Romano, Piazza San Giovanni, Centro, Circoscrizione 1, Torino, Piemonte, 10122, Italia",POINT (7.685493332098888 45.07400015),"Teatro Romano, Piazza San Giovanni, Centro, Circoscrizione 1, Torino, Piemonte, 10122, Italia",historic,archaeological_site
38,Duomo,Duomo Torino,"['*Complesso archeologico del Duomo: fondamenta delle tre basiliche paleocristiane gemelle sulle quali sorge la cattedrale rinascimentale, a loro volta poggianti su preesistenti abitazioni di epoca romana di cui rimangono evidenti testimonianze;', ""*Duomo; edificato fra il 1491 e il 1498, costituisce l'unico esempio di luogo di culto in stile rinascimentale della città;"", ""*Campanili romanici della basilica della Consolata (risalente al X secolo), del Duomo (quattrocentesco, poi completato nel XVIII secolo dallo Juvarra) e della Chiesa di Sant'Agostino (XV secolo);"", ""La Pantera Rosa 2. Nella parte iniziale del film viene mostrato un panorama di Torino e l'interno del duomo in cui viene rubata la Santa sindone. In realtà il panorama non è quello reale e neanche la Chiesa. Nel film viene mostrato come se la sindone fosse conservata in una teca di vetro, anche se nella realtà non è così."", 'Ostensione della Sindone del 1998 per celebrare il centenario della prima fotografia della reliquia e il cinquecentenario del Duomo di Torino.']","Duomo, Via Venti Settembre, Centro, Circoscrizione 1, Torino, Piemonte, 10122, Italia",POINT (7.6839762 45.0724362),"Duomo, Via Venti Settembre, Centro, Circoscrizione 1, Torino, Piemonte, 10122, Italia",amenity,bar
39,Consolata,Consolata Torino,"['Resti della torre angolare della cinta muraria nei pressi del santuario della Consolata;', ""Campanili romanici della basilica della Consolata (risalente al X secolo), del Duomo (quattrocentesco, poi completato nel XVIII secolo dallo Juvarra) e della Chiesa di Sant'Agostino (XV secolo);"", 'Guarino Guarini (Cappella della Sacra Sindone, Santuario della Consolata, Chiesa di San Lorenzo) ;', 'Filippo Juvarra (Basilica di Superga, Chiesa di San Filippo Neri, Santuario della Consolata, Chiesa di Santa Cristina, Chiesa della Madonna del Carmine) ;']","Consolata, Via della Consolata, Quadrilatero Romano, Circoscrizione 1, Torino, Piemonte, 10122, Italia",POINT (7.6780398 45.0757654),"Consolata, Via della Consolata, Quadrilatero Romano, Circoscrizione 1, Torino, Piemonte, 10122, Italia",amenity,bicycle_rental
40,Palazzo dell'Accademia delle Scienze,Palazzo dell'Accademia delle Scienze Torino,"[""*Tratto delle mura romane nelle sale sotterranee del Palazzo dell'Accademia delle Scienze;""]","Palazzo dell'Accademia delle Scienze, Piazza Carignano, Centro, Circoscrizione 1, Torino, Piemonte, 10123, Italia",POINT (7.684427915502214 45.068509399999996),"Palazzo dell'Accademia delle Scienze, Piazza Carignano, Centro, Circoscrizione 1, Torino, Piemonte, 10123, Italia",building,yes
41,via Bellezia,via Bellezia Torino,"['*Vari resti di abitazioni di epoca imperiale, fra cui le tracce delle domus di via Bellezia, via Santa Chiara, via Bonelli, Piazza Castello, la necropoli nel sottosuolo di Piazza San Carlo e gli edifici pubblici di Piazza Emanuele Filiberto e Corso XI Febbraio.']","Via Bellezia, Circoscrizione 2, Orbassano, Torino, Piemonte, 10095, Italia",POINT (7.582286 45.0372263),"Via Bellezia, Circoscrizione 2, Orbassano, Torino, Piemonte, 10095, Italia",highway,unclassified
42,via Santa Chiara,via Santa Chiara Torino,"['*Vari resti di abitazioni di epoca imperiale, fra cui le tracce delle domus di via Bellezia, via Santa Chiara, via Bonelli, Piazza Castello, la necropoli nel sottosuolo di Piazza San Carlo e gli edifici pubblici di Piazza Emanuele Filiberto e Corso XI Febbraio.']","Via Santa Chiara, Quadrilatero Romano, Circoscrizione 1, Torino, Piemonte, 10122, Italia",POINT (7.6813938 45.0751577),"Via Santa Chiara, Quadrilatero Romano, Circoscrizione 1, Torino, Piemonte, 10122, Italia",highway,residential
43,via Bonelli,via Bonelli Torino,"['*Vari resti di abitazioni di epoca imperiale, fra cui le tracce delle domus di via Bellezia, via Santa Chiara, via Bonelli, Piazza Castello, la necropoli nel sottosuolo di Piazza San Carlo e gli edifici pubblici di Piazza Emanuele Filiberto e Corso XI Febbraio.']","Via Franco Bonelli, Quadrilatero Romano, Circoscrizione 1, Torino, Piemonte, 10122, Italia",POINT (7.6804026 45.0762649),"Via Franco Bonelli, Quadrilatero Romano, Circoscrizione 1, Torino, Piemonte, 10122, Italia",highway,residential
44,Piazza San Carlo,Piazza San Carlo Torino,"['*Vari resti di abitazioni di epoca imperiale, fra cui le tracce delle domus di via Bellezia, via Santa Chiara, via Bonelli, Piazza Castello, la necropoli nel sottosuolo di Piazza San Carlo e gli edifici pubblici di Piazza Emanuele Filiberto e Corso XI Febbraio.', ""Anche nel progetto di piazza San Carlo di Amedeo di Castellamonte di qualche anno successivo erano previsti portici tutt'attorno."", 'Io sono leggenda. Nel film, quando il protagonista sta guardando le registrazioni di vecchi telegiornali, viene mostrata piazza San Carlo. Quella utilizzata nel film è infatti la reale registrazione di un collegamento avvenuto durante i XX Giochi olimpici invernali del 2006.', ""*Anche nel progetto di piazza San Carlo di Amedeo di Castellamonte di qualche anno successivo erano previsti portici tutt'attorno."", '*Io sono leggenda. Nel film, quando il protagonista sta guardando le registrazioni di vecchi telegiornali, viene mostrata piazza San Carlo. Quella utilizzata nel film è infatti la reale registrazione di un collegamento avvenuto durante i XX Giochi olimpici invernali del 2006.']","Piazza San Carlo, Via Maria Vittoria, Centro, Circoscrizione 1, Torino, Piemonte, 10123, Italia",POINT (7.6833591 45.0681027),"Piazza San Carlo, Via Maria Vittoria, Centro, Circoscrizione 1, Torino, Piemonte, 10123, Italia",tourism,information
45,Piazza Emanuele Filiberto,Piazza Emanuele Filiberto Torino,"['*Vari resti di abitazioni di epoca imperiale, fra cui le tracce delle domus di via Bellezia, via Santa Chiara, via Bonelli, Piazza Castello, la necropoli nel sottosuolo di Piazza San Carlo e gli edifici pubblici di Piazza Emanuele Filiberto e Corso XI Febbraio.']","Piazza Emanuele Filiberto, Quadrilatero Romano, Circoscrizione 1, Torino, Piemonte, 10122, Italia",POINT (7.6811829 45.0764195),"Piazza Emanuele Filiberto, Quadrilatero Romano, Circoscrizione 1, Torino, Piemonte, 10122, Italia",highway,residential
46,Corso XI,Corso XI Torino,"['*Vari resti di abitazioni di epoca imperiale, fra cui le tracce delle domus di via Bellezia, via Santa Chiara, via Bonelli, Piazza Castello, la necropoli nel sottosuolo di Piazza San Carlo e gli edifici pubblici di Piazza Emanuele Filiberto e Corso XI Febbraio.']","Corso Undici Febbraio, Sottopasso Repubblica, Porta Palazzo, Circoscrizione 7, Torino, Piemonte, 10152, Italia",POINT (7.6869392 45.0756816),"Corso Undici Febbraio, Sottopasso Repubblica, Porta Palazzo, Circoscrizione 7, Torino, Piemonte, 10152, Italia",railway,tram_stop
